a_0,a_1,g,v,id
83.7661,25.0933,0,8.5313,55
74.1574,33.5917,0,9.4121,56
4.5696,28.0883,0,11.5332,57
35.2226,28.7878,0,34.6925,58
35.9201,94.6906,0,0.7051,59
71.5619,38.8017,0,-0.3773,60
41.4418,65.0833,0,16.5354,61
33.4402,23.9416,0,10.0626,62
63.7399,37.8648,0,19.1878,63
41.4406,40.2267,0,0.861,64
70.183,41.8227,0,8.3776,65
44.5352,25.9227,0,7.3638,66
15.7687,52.7573,0,-2.7978,67
75.5485,88.3875,0,11.0262,68
49.4583,31.2058,0,-7.8051,69
87.5016,81.2415,0,13.7582,70
18.8001,99.942,0,7.2015,71
72.5554,98.6821,0,6.9016,72
40.1817,67.8515,0,7.2004,73
71.7324,0.2358,0,16.3404,74
82.2731,52.8346,0,14.1115,75
64.9265,87.3654,0,12.9006,76
27.9983,97.8515,0,25.8557,77
39.6696,8.1345,0,21.5474,78
27.4714,45.2978,0,15.2264,79
13.3421,52.0866,0,-9.1797,80
65.0783,34.7053,0,15.5986,81
1.8574,4.0663,0,4.1763,82
68.0997,55.8356,0,32.291,83
90.9851,4.2005,0,2.2117,84
74.9135,70.1325,0,1.1565,85
90.271,64.0141,0,-3.0767,86
37.2449,53.7929,0,13.4821,87
0.8897,15.1023,0,22.8373,88
33.3408,78.9623,0,8.2132,89
62.0538,4.1203,0,1.0903,90
16.3861,98.1914,0,7.5363,91
54.8484,29.3407,0,19.7143,92
47.8065,23.9706,0,16.005,93
52.305,7.0863,0,11.8787,94
40.3169,32.8521,0,6.0654,95
90.8658,47.4005,0,12.3362,96
84.0848,97.6229,0,3.6608,97
69.9595,42.6535,0,19.5,98
30.1903,73.4751,0,27.6934,99
62.6742,37.5571,0,-3.8316,100
97.4561,63.8879,0,13.8517,101
74.987,6.1156,0,11.6908,102
0.7851,39.3808,0,-0.8328,103
48.8619,58.4889,0,8.7003,104
67.9303,42.3038,0,-10.2198,105
26.0917,77.71,0,31.9894,106
43.1221,35.852,0,28.3748,107
70.2004,90.3011,0,17.7954,108
45.1612,67.6921,0,17.3906,109
20.7232,4.2101,0,16.8456,110
94.7961,21.5894,0,14.0264,111
37.8032,54.6391,0,15.283,112
15.1334,98.869,0,15.6358,113
40.5907,67.9929,0,9.3953,114
87.7657,49.5406,0,17.652,115
49.8441,49.8647,0,5.6064,116
67.0068,20.1991,0,4.5792,117
34.022,96.2566,0,5.5287,118
89.9008,81.8118,0,15.5273,119
25.6882,78.4167,0,11.2526,120
84.2333,58.2948,0,6.3919,121
6.6359,8.4643,0,-7.7779,122
86.8895,3.9416,0,10.449,123
1.5285,84.3955,0,12.8451,124
33.0594,16.069,0,18.6754,125
96.8598,50.5,0,21.7562,126
90.109,50.2429,0,-3.4724,127
80.511,75.7846,0,3.2553,128
99.0533,74.6965,0,15.638,129
53.5416,59.8614,0,6.2087,130
82.5697,48.2214,0,12.5295,131
58.6388,85.1317,0,0.4088,132
79.8059,65.6985,0,16.3381,133
50.6858,25.4459,0,10.0096,134
6.5621,85.9883,0,17.9535,135
40.8073,81.0038,0,7.0201,136
6.2259,64.0985,0,15.7318,137
82.9941,5.5527,0,15.9014,138
3.5934,41.7866,0,-9.9244,139
71.7189,67.3544,0,11.0236,140
15.1374,98.6706,0,-1.6672,141
38.6683,4.7033,0,17.2875,142
47.0889,15.1368,0,23.5745,143
62.9966,10.5293,0,12.8081,144
54.9144,34.6668,0,-2.8689,145
49.032,88.1277,0,21.5754,146
61.012,46.7188,0,3.8807,147
12.4324,68.253,0,3.2909,148
62.2037,78.8566,0,25.3741,149
79.9341,91.6887,0,25.787,150
87.2535,68.1006,0,14.4716,151
78.5489,18.9127,0,-1.2421,152
78.2114,44.458,0,10.4582,153
78.9559,7.534,0,-1.0162,154
4.4641,93.429,0,-11.4286,155
94.4783,66.6511,0,11.8674,156
57.1797,21.5979,0,25.4007,157
88.8772,77.9396,0,20.2521,158
69.8502,42.0111,0,8.3286,159
42.597,56.6013,0,14.614,160
92.2881,93.5755,0,6.0559,161
77.3819,73.4279,0,12.3111,162
3.0701,44.6719,0,9.0378,163
91.9282,96.2242,0,7.721,164
72.2543,7.8539,0,18.5289,165
2.9378,34.7878,0,14.035,166
0.9964,97.4324,0,11.6067,167
89.3435,20.7978,0,6.5295,168
20.4791,67.3759,0,14.7467,169
0.7185,36.913,0,8.0605,170
2.465,60.4848,0,14.0758,171
11.2391,34.445,0,5.021,172
95.9172,13.0158,0,19.2756,173
47.337,29.2632,0,8.0194,174
93.7127,95.8148,0,5.8097,175
99.2952,10.258,0,5.1916,176
58.0849,15.6403,0,29.3175,177
80.439,31.5891,0,-4.4707,178
24.2839,75.4858,0,7.3379,179
4.6256,13.2234,0,20.0888,180
2.055,7.7921,0,19.3562,181
55.0777,74.0879,0,14.6355,182
14.2283,42.2189,0,7.2594,183
44.4811,36.9256,0,6.8128,184
94.8932,5.7857,0,1.2742,185
72.8181,32.0671,0,15.6438,186
20.399,29.3312,0,-14.0907,187
79.6517,27.697,0,14.4565,188
55.8182,68.82,0,13.076,189
39.8777,76.7641,0,-0.4267,190
43.1716,24.7958,0,-12.5224,191
14.2567,46.2435,0,16.7823,192
63.7304,48.3288,0,10.1744,193
69.8992,61.8736,0,10.5818,194
0.7777,29.856,0,11.6448,195
54.5208,15.6221,0,-3.9844,196
70.6294,47.1435,0,2.6313,197
23.2363,76.1995,0,-5.2053,198
28.0088,98.4015,0,25.0479,199
4.0547,25.6576,0,24.2796,200
52.6102,58.1616,0,6.3122,201
25.2608,28.3397,0,12.815,202
75.5223,90.8774,0,7.7817,203
79.2236,30.5604,0,8.4841,204
33.989,53.0185,0,10.1346,205
16.3555,41.483,0,32.4738,206
28.9692,51.9834,0,-2.5563,207
53.1376,41.0805,0,3.7031,208
63.4594,40.3413,0,13.1435,209
29.2254,37.1804,0,-7.3355,210
62.8811,15.707,0,6.7979,211
59.1062,13.9533,0,0.7364,212
66.8258,35.4058,0,-0.2045,213
47.6715,69.4696,0,11.77,214
31.824,65.2054,0,17.8515,215
74.521,5.2406,0,13.1213,216
62.1142,2.5547,0,-10.6139,217
1.011,52.6828,0,13.7275,218
6.6457,86.711,0,3.5863,219
66.9008,0.6423,0,-5.1588,220
4.1178,62.0877,0,30.321,221
69.9686,72.71,0,9.9598,222
22.6687,75.1614,0,8.8856,223
46.0895,33.0196,0,14.5877,224
16.8255,42.171,0,18.5368,225
44.7292,70.8828,0,3.5653,226
52.4162,12.9223,0,19.1643,227
78.9338,38.8875,0,4.2158,228
80.6846,38.9536,0,11.2319,229
94.0035,58.653,0,16.4932,230
4.9793,38.8348,0,10.4214,231
18.6756,5.699,0,14.1849,232
63.8074,17.3374,0,-0.5668,233
70.4924,51.2119,0,1.1708,234
28.4424,87.7457,0,3.3199,235
63.1879,51.6124,0,18.8308,236
95.6468,95.4718,0,31.0861,237
58.096,49.0202,0,0.0387,238
70.4117,21.542,0,9.702,239
16.2858,0.3875,0,12.9783,240
65.4628,14.0407,0,13.4507,241
97.0676,39.6514,0,-4.707,242
92.1392,45.3704,0,7.5224,243
88.2832,79.479,0,13.9311,244
32.2929,45.5744,0,8.8999,245
4.4353,36.8704,0,12.1542,246
20.9591,52.4515,0,12.557,247
67.2668,73.5603,0,16.2045,248
31.2232,85.9994,0,9.7324,249
71.248,4.4503,0,19.1776,250
93.4183,7.2338,0,-5.5781,251
4.7469,80.9003,0,13.9028,252
97.8893,46.0512,0,13.0385,253
9.873,76.5441,0,12.7866,254
41.4013,91.9234,0,6.2685,255
42.6936,75.4828,0,11.4601,256
82.9338,3.9352,0,14.9154,257
12.8085,87.1093,0,20.5125,258
93.4461,31.9597,0,-1.7071,259
28.5506,54.1076,0,15.0798,260
20.1185,29.6641,0,-2.7225,261
53.6165,26.0988,0,14.873,262
23.1788,11.873,0,10.9534,263
73.2885,24.8774,0,5.5369,264
28.4557,73.6083,0,1.1477,265
51.5283,85.9096,0,-3.8757,266
12.1794,64.5197,0,22.0417,267
35.8905,67.4882,0,21.0605,268
70.3484,66.0608,0,13.3564,269
24.0136,51.8153,0,28.581,270
67.4646,23.3603,0,4.3156,271
17.1382,80.9749,0,4.059,272
55.3123,32.7885,0,8.055,273
12.9823,39.5581,0,8.8426,274
97.5757,51.0475,0,25.0933,275
78.1444,77.4802,0,17.8652,276
56.9498,69.5699,0,13.6963,277
81.6174,75.9967,0,25.8149,278
35.3462,59.1028,0,-4.8153,279
10.8014,83.3934,0,-5.5773,280
52.6436,35.8614,0,8.4669,281
22.0074,65.2763,0,10.4391,282
66.0849,49.4699,0,20.9626,283
31.3944,84.7781,0,6.6896,284
25.9158,60.4306,0,4.6422,285
78.5369,38.4092,0,-7.7805,286
5.918,3.8288,0,6.2359,287
34.3165,44.1195,0,-15.2636,288
72.5798,65.7831,0,9.053,289
30.4902,35.6358,0,24.8929,290
53.9513,73.2314,0,11.2264,291
62.783,2.4565,0,11.7154,292
4.4963,22.5776,0,7.8924,293
6.2406,97.2093,0,6.9454,294
42.2653,89.2429,0,12.2318,295
35.8035,17.6936,0,20.4537,296
32.8813,98.6796,0,9.8339,297
40.9284,26.3741,0,0.1795,298
53.1337,73.5637,0,5.6797,299
4.1939,92.1508,0,-0.274,300
40.8934,39.0299,0,15.4536,301
86.8853,51.3935,0,10.1066,302
73.2435,14.8168,0,0.7695,303
82.0659,24.6794,0,26.7775,304
2.1975,80.6467,0,18.5931,305
68.3659,16.8315,0,25.3653,306
7.8489,92.7649,0,-1.3701,307
45.7512,15.0071,0,1.9685,308
60.197,25.2473,0,15.5885,309
2.7267,93.2423,0,-5.2532,310
3.6316,8.9619,0,8.4831,311
23.6145,35.5809,0,15.513,312
73.55,40.4711,0,8.5523,313
39.2593,31.0764,0,21.5534,314
90.0542,55.0448,0,27.0443,315
57.0499,26.2447,0,7.5554,316
68.6844,45.5918,0,8.1815,317
49.6005,2.0684,0,-0.0061,318
73.9959,3.4274,0,4.4308,319
77.5918,28.9778,0,-1.9766,320
68.6111,20.7098,0,1.0331,321
97.8455,97.1867,0,8.3319,322
20.897,56.6038,0,-2.5903,323
92.4526,58.6146,0,33.0929,324
72.0084,68.1325,0,-3.4709,325
89.9454,33.0658,0,27.7422,326
74.7395,0.9092,0,15.2243,327
95.2307,36.3193,0,-1.7953,328
62.5713,32.3002,0,12.7716,329
98.7471,0.1013,0,-3.2638,330
14.0759,4.3601,0,26.1934,331
94.8608,48.0413,0,26.3669,332
94.6689,81.8388,0,12.9663,333
18.7655,54.8877,0,-6.3186,334
42.3879,94.9788,0,12.8099,335
65.8862,15.7402,0,15.4163,336
11.0054,50.3923,0,13.9392,337
75.4754,26.5759,0,-3.0491,338
28.4963,42.8704,0,25.8832,339
94.6254,53.787,0,9.0856,340
55.456,99.009,0,16.4323,341
79.1514,84.4742,0,26.2426,342
75.0053,15.5333,0,-2.0194,343
56.3285,36.0942,0,-9.2395,344
94.952,56.1599,0,-1.7275,345
80.4125,22.8302,0,17.2745,346
1.5692,52.9095,0,24.0877,347
63.0908,62.7815,0,4.5608,348
49.699,73.0919,0,10.1067,349
27.4473,94.4945,0,31.0869,350
92.6497,7.7925,0,-5.6415,351
44.9654,50.8899,0,15.2808,352
80.6824,70.4992,0,15.7876,353
92.3559,92.7986,0,8.4364,354
63.4749,94.0391,0,9.6513,355
77.3479,60.9689,0,30.6623,356
9.0629,3.0134,0,17.5771,357
76.2352,38.6625,0,10.5231,358
77.5447,62.5642,0,-5.8103,359
3.8417,46.5313,0,23.2034,360
82.9852,12.6813,0,7.8086,361
2.4301,47.3725,0,1.3553,362
52.1693,4.1586,0,1.5417,363
0.4493,19.0773,0,6.2816,364
11.0811,54.0622,0,32.1104,365
84.5062,94.5298,0,16.1414,366
31.4801,90.5267,0,26.9293,367
27.5083,67.0889,0,8.3259,368
59.5663,40.4203,0,8.7872,369
12.5382,13.3956,0,13.2972,370
48.0893,64.1893,0,10.2731,371
82.376,4.3471,0,6.9189,372
55.4947,74.4148,0,-6.6008,373
34.4698,58.5883,0,-7.9521,374
8.2799,55.9797,0,12.5991,375
26.0965,70.0406,0,3.8133,376
25.3882,25.9245,0,43.2162,377
15.5198,90.0162,0,-4.2464,378
55.2726,3.8601,0,-2.3067,379
3.3796,75.7692,0,2.6693,380
81.78,7.1643,0,3.4192,381
23.8721,45.867,0,1.1312,382
15.939,33.3666,0,3.6174,383
55.592,54.3443,0,0.5819,384
82.0594,34.3383,0,11.5736,385
42.7733,35.232,0,6.2321,386
45.1581,83.351,0,-19.4467,387
86.1461,11.8847,0,7.7012,388
31.6892,2.2726,0,9.7993,389
88.5939,19.3343,0,8.0411,390
41.3836,6.2039,0,6.27,391
5.2231,76.7551,0,19.208,392
71.135,35.7884,0,12.0478,393
5.4006,35.498,0,6.547,394
90.1841,75.6468,0,3.9682,395
80.3766,41.2227,0,-1.3605,396
3.0689,80.2404,0,13.6174,397
35.7609,12.3366,0,19.22,398
35.0784,17.7087,0,-0.8586,399
1.3647,45.6476,0,0.3032,400
55.4053,87.1663,0,5.9056,401
5.1724,86.2109,0,10.1021,402
79.0729,85.8448,0,8.8895,403
9.5718,82.6573,0,24.408,404
33.3613,95.5147,0,7.4485,405
90.9056,62.5532,0,10.4638,406
28.7081,3.6804,0,5.8258,407
54.828,14.6884,0,14.0867,408
17.4614,92.0869,0,5.2527,409
87.8896,62.4716,0,4.2527,410
94.5599,48.2917,0,21.4792,411
4.4169,24.029,0,0.2458,412
28.1576,17.0017,0,10.5309,413
87.8344,46.2899,0,17.139,414
87.6512,13.7998,0,8.4883,415
93.0301,0.5637,0,9.3468,416
38.9908,80.1586,0,11.9851,417
82.4085,51.0088,0,9.9985,418
3.8182,77.7119,0,20.4895,419
77.8325,67.3591,0,18.891,420
37.9874,2.6442,0,-10.384,421
33.2923,24.7959,0,18.6294,422
13.7831,51.0252,0,6.1902,423
40.7758,65.8681,0,9.1898,424
96.6051,43.1541,0,-0.3879,425
22.5033,39.4838,0,14.4153,426
64.5265,39.7059,0,-6.5717,427
99.7968,88.504,0,0.7022,428
37.1797,2.1727,0,1.3322,429
23.7017,4.0304,0,2.6809,430
32.157,79.8071,0,14.6293,431
87.7639,4.8718,0,8.9383,432
71.3476,2.6796,0,-7.773,433
39.3108,92.4564,0,19.6187,434
71.3195,60.4184,0,14.8221,435
41.1096,59.0205,0,17.746,436
99.6038,28.371,0,-13.2741,437
34.5421,62.8605,0,9.4789,438
76.6132,63.027,0,10.1422,439
95.7338,17.6898,0,3.4019,440
58.3681,29.6043,0,4.4917,441
43.1213,68.2223,0,3.7976,442
26.9069,72.7876,0,6.9555,443
61.3129,16.5758,0,14.3681,444
43.0577,39.8397,0,23.9817,445
68.0824,77.7795,0,17.2539,446
54.4913,55.3917,0,13.314,447
22.8249,52.5304,0,15.9599,448
81.8983,35.6974,0,22.0257,449
71.6447,33.5172,0,-1.0296,450
11.8477,96.279,0,16.2649,451
86.3218,89.9217,0,1.8825,452
34.2474,50.1561,0,2.4228,453
91.2167,98.4544,0,23.423,454
74.3779,30.5242,0,32.9075,455
34.6526,94.8712,0,-11.3783,456
51.1546,96.4635,0,28.3041,457
68.3437,15.4014,0,9.5233,458
0.4917,59.5471,0,3.3907,459
51.712,69.6847,0,-12.4645,460
64.7356,20.492,0,-7.4381,461
11.1185,68.8543,0,-12.2781,462
61.4305,37.5855,0,10.3906,463
89.2412,81.7364,0,8.6015,464
48.0705,10.8139,0,-2.6664,465
25.3883,48.6531,0,13.8855,466
77.5729,92.2732,0,-7.3514,467
7.7933,85.6368,0,2.9218,468
92.0815,16.8001,0,19.1064,469
87.8659,51.714,0,-7.2023,470
60.8254,20.8083,0,7.35,471
2.1169,13.4267,0,0.1602,472
38.8218,88.518,0,-10.4426,473
92.9484,8.6795,0,1.1625,474
58.8215,33.4528,0,-1.0166,475
47.9943,10.1806,0,9.5294,476
83.316,49.028,0,3.0653,477
18.1018,54.1001,0,1.0613,478
15.954,85.2179,0,12.7319,479
6.8844,6.8492,0,5.1472,480
39.3244,95.3041,0,2.6275,481
22.9649,11.0873,0,7.2859,482
14.1071,81.1863,0,22.866,483
82.2998,13.6809,0,25.2832,484
55.8725,0.7055,0,18.2738,485
75.534,49.0345,0,0.2553,486
69.0422,93.1239,0,-8.9718,487
34.3045,9.7533,0,2.5511,488
0.5145,22.665,0,14.5645,489
22.4616,49.563,0,2.6643,490
94.6904,50.8978,0,7.8292,491
57.3667,22.6257,0,13.3796,492
36.7499,38.1162,0,10.3731,493
93.5892,74.2388,0,2.7504,494
48.112,88.0474,0,3.7615,495
12.9369,77.8556,0,17.6219,496
40.1193,50.0253,0,-4.3702,497
37.3938,91.5861,0,12.6507,498
43.1922,35.9214,0,-3.8497,499
99.3057,86.6515,0,19.9461,500
47.9727,29.1359,0,1.341,501
24.3532,18.6941,0,13.0569,502
95.5876,49.9305,0,17.5846,503
38.8717,51.3535,0,16.2725,504
98.0041,97.6633,0,-2.7027,505
67.5629,50.2222,0,4.4181,506
48.6678,31.4524,0,8.2289,507
31.7145,89.0979,0,5.9822,508
22.7378,96.7582,0,23.024,509
4.0436,9.3478,0,8.7003,510
20.0302,32.6812,0,23.5394,511
36.4155,23.3734,0,21.6535,512
4.3694,38.2672,0,14.975,513
60.4646,93.4945,0,10.1409,514
19.9366,74.1061,0,10.1765,515
89.6538,84.6109,0,10.5178,516
6.6779,17.7135,0,12.261,517
38.1929,80.7382,0,32.8473,518
43.5814,38.1245,0,11.3317,519
26.9318,58.2811,0,-3.7668,520
70.3853,82.7078,0,3.679,521
59.5902,9.2051,0,-2.8371,522
94.5189,71.4842,0,7.8011,523
62.0817,65.8851,0,25.1962,524
37.8909,57.3176,0,6.4048,525
50.8012,12.0342,0,4.3327,526
10.553,91.1061,0,25.0005,527
46.9799,45.4903,0,24.9154,528
33.9815,41.6218,0,0.7495,529
33.5593,82.1976,0,18.9946,530
23.3562,24.847,0,-13.212,531
2.3916,72.3414,0,12.8507,532
0.6007,40.486,0,10.969,533
42.9489,25.3217,0,-0.8263,534
47.5096,22.8259,0,6.957,535
59.9447,92.9546,0,24.2336,536
96.8869,52.238,0,17.1984,537
51.7805,67.3163,0,14.4147,538
94.6197,15.5107,0,29.6672,539
80.5164,76.5748,0,14.6153,540
46.8601,67.7781,0,4.4538,541
39.0894,78.7047,0,13.4483,542
80.1856,96.1134,0,21.5222,543
52.0912,72.3927,0,0.18,544
18.3204,92.3085,0,6.8698,545
43.4042,63.3542,0,-3.066,546
61.7679,89.8854,0,3.7448,547
44.1379,24.2969,0,7.0211,548
90.495,84.3526,0,3.7898,549
4.3542,13.4169,0,7.728,550
44.3219,67.4204,0,12.4706,551
86.1949,75.7241,0,24.9876,552
42.5527,64.5728,0,30.7598,553
33.815,68.5447,0,8.48,554
16.3211,55.7368,0,3.3372,555
43.8899,66.3233,0,18.4208,556
84.5996,46.8572,0,20.1348,557
75.1643,95.3845,0,23.3378,558
39.4056,46.3879,0,-10.4206,559
70.4217,2.1278,0,4.6753,560
20.7323,85.3895,0,-7.4858,561
41.1399,21.0468,0,-0.4114,562
0.4141,99.6051,0,19.3975,563
48.9709,38.0149,0,20.8477,564
53.7202,7.8284,0,21.4451,565
1.529,41.9343,0,7.8193,566
75.7202,31.2084,0,9.466,567
23.9121,96.7972,0,-7.0696,568
2.7889,86.3605,0,4.2476,569
25.8393,59.3517,0,9.5418,570
27.8457,83.8421,0,11.8734,571
50.6813,33.9773,0,19.665,572
82.4143,26.3882,0,14.9165,573
62.6945,56.3563,0,13.0759,574
6.3298,99.3049,0,1.3,575
72.9162,2.4292,0,11.1301,576
43.4249,66.4414,0,26.458,577
88.5159,11.8906,0,6.009,578
42.9771,3.179,0,8.6433,579
34.3821,37.3741,0,19.7549,580
80.308,18.9544,0,15.6376,581
33.8745,55.2236,0,-1.1517,582
16.1423,49.5455,0,29.7485,583
33.1581,34.4043,0,12.7414,584
99.5152,61.3456,0,-5.3701,585
6.7665,57.0504,0,18.7473,586
52.0701,86.1228,0,0.1246,587
52.0226,78.1897,0,4.0587,588
34.7321,55.7789,0,1.2935,589
69.3684,96.1871,0,-21.7397,590
39.9033,60.8781,0,9.7264,591
26.9175,97.2833,0,0.7482,592
34.8534,99.9903,0,14.1814,593
82.8219,98.3627,0,4.4141,594
27.682,66.4454,0,10.512,595
81.9332,30.8361,0,5.8613,596
70.6382,95.0138,0,23.4217,597
29.2405,11.4659,0,13.0098,598
71.1855,97.9047,0,0.808,599
44.909,41.4618,0,9.2643,600
53.1902,40.9176,0,34.3916,601
99.6707,17.4135,0,23.4838,602
24.104,43.6956,0,9.201,603
83.5498,63.8433,0,7.6061,604
26.9294,87.0867,0,5.3779,605
54.7846,97.9238,0,2.5929,606
4.8433,70.8462,0,18.9789,607
14.0018,59.715,0,-2.4546,608
78.5955,41.8596,0,3.3566,609
31.2749,80.857,0,6.2147,610
48.9498,44.8812,0,16.94,611
52.0721,23.1012,0,16.7578,612
80.7936,38.3701,0,10.6204,613
82.4464,90.4143,0,18.5636,614
96.0298,1.5194,0,10.2987,615
12.456,24.6534,0,-2.2067,616
28.1691,40.4217,0,-13.1036,617
5.8355,70.9169,0,14.2988,618
85.4106,35.73,0,10.0348,619
30.0839,14.5298,0,17.073,620
55.1678,25.04,0,17.1708,621
82.0632,41.737,0,11.24,622
88.3536,94.3616,0,10.5354,623
88.1067,58.142,0,22.8022,624
16.8,24.7953,0,18.4101,625
86.7703,79.5012,0,9.3447,626
74.1985,72.1942,0,14.8201,627
6.2366,16.781,0,-8.782,628
50.5529,21.249,0,-1.4055,629
12.6771,8.5961,0,7.5843,630
1.1653,82.5036,0,32.2358,631
98.3832,74.5696,0,22.543,632
45.0383,27.5788,0,2.1537,633
39.6295,72.6196,0,14.8114,634
89.2526,15.7715,0,10.316,635
4.5346,85.4201,0,16.857,636
51.1276,6.7035,0,-0.3267,637
77.7956,76.1397,0,13.6261,638
13.4489,62.6876,0,8.3548,639
14.7736,66.6848,0,9.8997,640
36.7026,96.3685,0,-5.2677,641
13.3618,47.9448,0,9.8321,642
73.4121,83.3482,0,13.1313,643
47.3527,44.0372,0,19.5568,644
47.5442,29.59,0,17.9713,645
34.9001,63.786,0,-10.6157,646
38.0706,57.8752,0,6.0406,647
67.4582,75.7146,0,-1.1157,648
84.3296,18.881,0,12.5198,649
50.9657,80.7725,0,21.7522,650
51.7383,90.0052,0,12.0504,651
82.6326,47.5856,0,-1.7033,652
34.1715,43.3423,0,-3.9552,653
5.2157,72.9509,0,13.9397,654
96.8233,45.8818,0,16.0878,655
10.3214,25.6354,0,12.8075,656
79.3907,0.1049,0,26.6006,657
18.5003,17.3586,0,-6.8996,658
96.5763,36.038,0,10.5092,659
99.0792,1.649,0,8.7546,660
60.7571,92.845,0,14.2131,661
82.208,39.3048,0,2.4781,662
49.9806,36.3278,0,1.9223,663
78.2068,69.9491,0,20.4519,664
76.8078,1.4273,0,0.8561,665
20.8615,92.0852,0,8.1547,666
19.6808,18.4475,0,16.3366,667
61.174,50.5633,0,23.2095,668
58.6802,94.0576,0,23.9864,669
5.4158,89.7413,0,-6.6473,670
3.1351,64.7643,0,20.7176,671
41.9321,33.1743,0,5.025,672
91.6124,92.5969,0,-1.6004,673
33.9127,13.8175,0,-0.7742,674
97.9001,65.7022,0,5.8056,675
60.897,33.0585,0,37.1586,676
89.5813,7.79,0,11.9679,677
10.7674,25.8944,0,4.4414,678
71.4826,60.8008,0,4.8195,679
92.3752,76.6285,0,12.794,680
68.6267,81.2909,0,10.7411,681
77.3354,83.8725,0,5.1727,682
74.6756,48.2277,0,8.2152,683
76.4345,26.2228,0,5.7706,684
78.5126,63.5284,0,-2.3726,685
7.4731,4.0898,0,9.2935,686
1.4825,77.5542,0,13.3011,687
38.5063,97.7703,0,13.9144,688
88.5924,31.3289,0,11.7907,689
39.204,57.9206,0,6.1821,690
98.6247,4.8707,0,-9.1392,691
2.7611,59.9082,0,21.7416,692
39.9394,56.0268,0,7.0476,693
89.2052,95.5715,0,0.2177,694
98.5059,5.4778,0,20.6515,695
14.5405,94.1429,0,-7.5472,696
12.7114,20.7314,0,28.1193,697
57.6551,28.7808,0,4.8033,698
25.2715,40.3139,0,24.2011,699
5.155,77.3852,0,10.8033,700
7.0164,1.0254,0,6.2813,701
83.2637,50.7303,0,26.8066,702
93.8297,11.4517,0,1.8888,703
32.332,14.5361,0,24.2789,704
57.8361,6.2574,0,4.6563,705
33.1812,48.5182,0,15.4786,706
53.5702,8.4357,0,6.0626,707
40.3304,48.0035,0,19.0166,708
42.5872,7.4028,0,12.7541,709
82.8764,51.1441,0,24.1117,710
14.819,7.0467,0,15.4877,711
56.5206,66.4257,0,18.1733,712
52.4359,56.5291,0,1.1328,713
72.686,40.2125,0,21.8513,714
81.4912,74.3932,0,19.2647,715
34.5222,77.7204,0,3.6819,716
3.7593,38.3876,0,19.0599,717
51.2322,24.977,0,8.6928,718
7.6947,11.0952,0,-2.7569,719
54.5748,51.8682,0,15.5004,720
11.1651,4.0259,0,-5.0822,721
17.9818,26.9261,0,28.5383,722
48.3141,91.4207,0,10.4827,723
64.7896,23.6158,0,9.833,724
65.4482,74.2847,0,21.5106,725
84.721,78.448,0,0.1238,726
16.0716,4.3693,0,9.1393,727
99.7866,16.4891,0,-2.1875,728
38.527,28.7784,0,18.3172,729
91.365,70.719,0,2.0605,730
99.8806,59.9779,0,16.1025,731
44.168,57.8391,0,9.079,732
97.8296,56.788,0,19.3241,733
51.2401,39.1441,0,-0.5407,734
36.8634,29.5218,0,16.1609,735
53.6461,86.587,0,34.8825,736
88.4964,94.23,0,10.6744,737
63.314,32.2054,0,19.0532,738
14.3928,75.9859,0,-1.7852,739
71.0471,11.474,0,6.1387,740
