a_0,a_1,a_2,g,v,id
94.6906,63.3748,62.1077,0,19.1685,44
71.5619,38.8017,41.4418,0,9.6777,45
19.231,33.4402,23.9416,0,9.5515,46
63.7399,37.8648,87.5423,0,0.5887,47
40.2267,70.183,41.8227,0,5.7042,48
66.2196,4.678,44.5352,0,9.6606,49
52.7573,48.7266,56.1405,0,15.8485,50
75.5485,88.3875,49.4583,0,5.7365,51
80.9046,87.5016,81.2415,0,20.3744,52
18.8001,99.942,63.3089,0,23.9198,53
98.6821,40.1817,67.8515,0,18.0522,54
31.6177,21.3525,71.7324,0,28.5995,55
52.8346,9.7784,11.8904,0,10.2755,56
64.9265,87.3654,27.9983,0,14.553,57
85.3938,39.6696,8.1345,0,9.3816,58
27.4714,45.2978,79.2342,0,13.4464,59
52.0866,65.0783,34.7053,0,5.9058,60
87.1864,27.841,1.8574,0,24.6259,61
55.8356,94.6503,93.8439,0,13.8203,62
90.9851,4.2005,74.9135,0,5.6052,63
71.2358,90.271,64.0141,0,-3.919,64
37.2449,53.7929,20.7844,0,8.8584,65
15.1023,33.3408,78.9623,0,9.3041,66
71.8499,33.8256,62.0538,0,15.7833,67
98.1914,28.9531,39.4792,0,11.5316,68
54.8484,29.3407,47.8065,0,10.2033,69
17.9587,52.305,7.0863,0,13.1386,70
40.3169,32.8521,41.4722,0,27.7476,71
47.4005,84.0848,97.6229,0,22.7925,72
34.3652,47.9087,69.9595,0,2.4091,73
73.4751,89.44,91.9689,0,13.776,74
62.6742,37.5571,97.4561,0,7.6276,75
8.467,74.987,6.1156,0,7.173,76
0.7851,39.3808,51.9004,0,-0.9813,77
58.4889,67.9303,42.3038,0,13.6794,78
36.8331,98.8459,26.0917,0,11.8001,79
35.852,6.3858,86.3579,0,-0.4696,80
70.2004,90.3011,45.1612,0,7.7699,81
39.7954,20.7232,4.2101,0,5.4894,82
94.7961,21.5894,14.6354,0,13.1295,83
54.6391,15.1334,98.869,0,19.2293,84
98.2989,14.8402,40.5907,0,1.264,85
49.5406,91.7047,32.246,0,-8.5436,86
49.8441,49.8647,67.0068,0,14.0758,87
21.8773,34.022,96.2566,0,23.0993,88
89.9008,81.8118,3.5468,0,14.5931,89
78.4167,84.2333,58.2948,0,16.1874,90
71.8132,80.7055,6.6359,0,27.3739,91
3.9416,22.5091,4.0632,0,20.2224,92
1.5285,84.3955,33.0594,0,13.021,93
65.6084,96.8598,50.5,0,14.8062,94
90.109,50.2429,57.3872,0,2.1532,95
75.7846,99.0533,74.6965,0,-6.2939,96
90.5781,20.6105,53.5416,0,-5.2172,97
48.2214,79.104,38.8569,0,-0.8548,98
58.6388,85.1317,79.8059,0,9.8789,99
18.1969,50.6858,25.4459,0,9.817,100
6.5621,85.9883,94.2947,0,6.6643,101
81.0038,6.2259,64.0985,0,19.6823,102
12.7321,28.7088,82.9941,0,12.5424,103
41.7866,49.1831,86.3325,0,10.9248,104
71.7189,67.3544,15.1374,0,20.2555,105
61.1771,38.6683,4.7033,0,9.1414,106
47.0889,15.1368,3.2465,0,-0.4353,107
10.5293,54.9144,34.6668,0,0.5165,108
38.3414,77.642,49.032,0,20.0803,109
46.7188,63.2313,33.7865,0,0.685,110
12.4324,68.253,62.2037,0,11.2512,111
91.1783,79.9341,91.6887,0,4.938,112
87.2535,68.1006,81.0251,0,-7.4215,113
18.9127,78.2114,44.458,0,7.9095,114
75.6616,45.547,78.9559,0,12.6899,115
93.429,48.6165,90.1071,0,11.3778,116
94.4783,66.6511,57.1797,0,10.9398,117
81.9394,88.8772,77.9396,0,14.3295,118
69.8502,42.0111,30.5312,0,17.9711,119
56.6013,92.2881,93.5755,0,16.8903,120
41.5641,9.9211,77.3819,0,9.7537,121
44.6719,68.6418,3.0134,0,7.5149,122
91.9282,96.2242,72.2543,0,13.3634,123
35.9253,2.9378,34.7878,0,11.809,124
0.9964,97.4324,81.9007,0,29.1179,125
20.7978,20.4791,67.3759,0,19.0723,126
93.8262,12.3188,0.7185,0,8.4795,127
60.4848,85.9176,18.6992,0,11.637,128
11.2391,34.445,95.9172,0,27.8235,129
36.224,47.337,29.2632,0,29.0179,130
93.7127,95.8148,63.5916,0,22.6753,131
10.258,58.0849,15.6403,0,38.8155,132
89.7675,94.5678,80.439,0,6.9994,133
75.4858,29.106,41.9785,0,16.8288,134
4.6256,13.2234,2.055,0,13.4414,135
42.0232,55.0777,74.0879,0,11.8338,136
14.2283,42.2189,63.6966,0,19.3531,137
36.9256,94.8932,5.7857,0,15.4962,138
40.8626,41.7225,72.8181,0,7.0982,139
29.3312,47.0888,95.0268,0,16.0998,140
79.6517,27.697,55.8182,0,3.2527,141
44.6164,39.8777,76.7641,0,-6.4944,142
43.1716,24.7958,45.3447,0,15.1189,143
46.2435,63.7304,48.3288,0,7.8648,144
20.364,0.1843,69.8992,0,9.0823,145
29.856,76.8634,62.892,0,9.1519,146
54.5208,15.6221,70.6294,0,-4.8164,147
76.009,23.2363,76.1995,0,12.6882,148
28.0088,98.4015,12.0832,0,12.1428,149
25.6576,52.6102,58.1616,0,8.0799,150
39.6235,10.2032,25.2608,0,6.5053,151
90.8774,59.541,3.5451,0,26.4094,152
79.2236,30.5604,33.989,0,2.5672,153
91.9978,16.3555,41.483,0,8.5731,154
28.9692,51.9834,57.3982,0,1.4118,155
41.0805,63.4594,40.3413,0,1.1777,156
77.855,78.8177,29.2254,0,0.2468,157
15.707,69.7032,38.1428,0,20.153,158
59.1062,13.9533,66.8258,0,3.1192,159
41.5107,47.6715,69.4696,0,18.9799,160
31.824,65.2054,6.0222,0,4.8716,161
5.2406,62.1142,2.5547,0,25.7214,162
47.1529,88.8545,1.011,0,6.344,163
86.711,68.6297,74.1954,0,9.3778,164
66.9008,0.6423,4.1178,0,-19.1221,165
87.3147,69.9686,72.71,0,-17.6509,166
22.6687,75.1614,28.7924,0,18.7637,167
33.0196,16.8255,42.171,0,16.8385,168
89.7201,43.527,44.7292,0,6.8822,169
12.9223,91.0392,44.4124,0,-1.782,170
78.9338,38.8875,80.6846,0,4.5793,171
19.6195,94.0035,58.653,0,14.511,172
4.9793,38.8348,23.4029,0,15.5416,173
5.699,63.8074,17.3374,0,13.2612,174
61.078,61.2507,70.4924,0,1.8424,175
87.7457,35.3071,45.8294,0,9.3776,176
63.1879,51.6124,95.6468,0,32.1205,177
93.4076,58.096,49.0202,0,3.5308,178
70.4117,21.542,26.5872,0,15.7381,179
0.3875,65.4628,14.0407,0,11.6205,180
78.6679,68.0504,97.0676,0,-7.9514,181
45.3704,33.9504,10.2339,0,23.6529,182
88.2832,79.479,32.2929,0,1.4721,183
2.8829,4.4353,36.8704,0,12.4344,184
20.9591,52.4515,18.7785,0,14.4732,185
73.5603,31.2232,85.9994,0,24.26,186
25.4639,34.394,71.248,0,32.4216,187
7.2338,46.0931,72.4605,0,16.4382,188
4.7469,80.9003,97.8893,0,5.1395,189
8.1477,9.873,76.5441,0,11.2313,190
41.4013,91.9234,44.064,0,19.3368,191
75.4828,82.9338,3.9352,0,14.9168,192
18.0389,49.0013,12.8085,0,26.0977,193
31.9597,43.4844,55.7054,0,-6.9082,194
28.5506,54.1076,20.1185,0,6.8806,195
60.467,53.6165,26.0988,0,20.3379,196
23.1788,11.873,78.3494,0,23.211,197
24.8774,28.4557,73.6083,0,19.4596,198
65.9621,74.1922,51.5283,0,13.2263,199
64.5197,11.8244,73.7283,0,6.0547,200
35.8905,67.4882,70.3484,0,6.2305,201
83.18,24.0136,51.8153,0,4.0097,202
67.4646,23.3603,62.8512,0,8.5936,203
80.9749,55.3123,32.7885,0,15.9684,204
58.5431,2.5286,12.9823,0,-11.6123,205
51.0475,7.6456,76.5041,0,26.6382,206
78.1444,77.4802,56.9498,0,7.6813,207
73.2561,81.6174,75.9967,0,3.4697,208
35.3462,59.1028,62.8989,0,13.8824,209
83.3934,52.6436,35.8614,0,7.2093,210
45.5603,1.2635,22.0074,0,1.564,211
49.4699,95.3326,48.0915,0,-2.0456,212
31.3944,84.7781,25.9158,0,-2.3611,213
82.1696,78.5369,38.4092,0,0.4978,214
5.918,3.8288,72.646,0,18.9044,215
44.1195,72.5798,65.7831,0,7.8143,216
26.0107,67.1585,30.4902,0,2.2834,217
73.2314,15.1216,2.1987,0,19.7749,218
62.783,2.4565,4.4963,0,12.2086,219
6.6545,6.2406,97.2093,0,24.3984,220
42.2653,89.2429,21.6524,0,1.3542,221
17.6936,32.8813,98.6796,0,13.7276,222
74.7309,38.2668,40.9284,0,8.9384,223
73.5637,68.6647,46.265,0,22.2657,224
4.1939,92.1508,40.8934,0,9.3909,225
13.8227,86.8853,51.3935,0,10.502,226
73.2435,14.8168,33.0051,0,19.9471,227
24.6794,2.1975,80.6467,0,-5.6444,228
16.8844,78.7681,68.3659,0,11.9853,229
92.7649,59.7878,62.051,0,13.5223,230
45.7512,15.0071,60.197,0,9.7187,231
73.2719,2.7267,93.2423,0,28.105,232
3.6316,8.9619,29.2735,0,14.2841,233
35.5809,73.55,40.4711,0,15.96,234
26.984,49.2313,39.2593,0,1.995,235
55.0448,97.7328,77.2912,0,29.938,236
57.0499,26.2447,68.6844,0,-5.3778,237
40.3779,49.6005,2.0684,0,14.3717,238
73.9959,3.4274,68.0725,0,-5.0504,239
28.9778,68.6111,20.7098,0,1.4775,240
52.9272,34.028,97.8455,0,16.7405,241
56.6038,32.9443,96.8538,0,8.7959,242
92.4526,58.6146,72.0084,0,6.0947,243
91.6362,89.9454,33.0658,0,1.5182,244
74.7395,0.9092,81.6359,0,-12.6487,245
36.3193,62.5713,32.3002,0,0.2211,246
78.2785,60.0703,98.7471,0,15.5082,247
4.3601,12.5848,92.9385,0,10.0351,248
94.8608,48.0413,94.6689,0,17.2345,249
74.7282,18.7655,54.8877,0,-5.7872,250
42.3879,94.9788,17.3834,0,17.0768,251
15.7402,11.0054,50.3923,0,22.8457,252
79.6661,60.5046,75.4754,0,9.1904,253
42.8704,99.0848,71.7918,0,18.1504,254
94.6254,53.787,55.456,0,16.4791,255
78.259,79.1514,84.4742,0,9.5961,256
75.0053,15.5333,66.1128,0,21.4213,257
36.0942,94.952,56.1599,0,4.0629,258
41.1636,61.4133,80.4125,0,10.2417,259
52.9095,94.1357,68.0258,0,11.7621,260
63.0908,62.7815,49.699,0,9.0945,261
89.1754,27.4473,94.4945,0,2.4832,262
92.6497,7.7925,44.818,0,9.5906,263
50.8899,80.6824,70.4992,0,-0.9213,264
95.8004,16.4486,92.3559,0,22.7645,265
94.0391,25.2686,88.1787,0,3.795,266
77.3479,60.9689,9.0629,0,11.4587,267
25.0558,76.2352,38.6625,0,10.2795,268
77.5447,62.5642,38.9262,0,12.0422,269
46.5313,82.9852,12.6813,0,8.0858,270
71.0488,32.8116,2.4301,0,-1.9798,271
4.1586,56.5919,34.7434,0,11.9959,272
0.4493,19.0773,11.0811,0,7.1271,273
92.8133,84.5062,94.5298,0,9.2504,274
31.4801,90.5267,98.4312,0,10.7414,275
67.0889,59.5663,40.4203,0,2.0131,276
30.6098,5.9848,12.5382,0,17.629,277
64.1893,76.4068,4.6714,0,18.5398,278
82.376,4.3471,55.4947,0,9.4807,279
94.9679,34.4698,58.5883,0,-4.1153,280
8.2799,55.9797,81.3299,0,12.3285,281
70.0406,25.3882,25.9245,0,17.4202,282
93.5515,99.8543,15.5198,0,20.2702,283
3.8601,58.5503,64.155,0,2.5542,284
3.3796,75.7692,81.78,0,23.0183,285
45.6547,23.8721,45.867,0,16.2909,286
15.939,33.3666,65.5207,0,-2.6029,287
54.3443,82.0594,34.3383,0,11.8757,288
81.2962,7.9987,42.7733,0,3.4287,289
83.351,51.2399,98.7247,0,18.7728,290
86.1461,11.8847,31.6892,0,26.103,291
1.9201,88.5939,19.3343,0,12.3151,292
41.3836,6.2039,31.1255,0,7.4826,293
76.7551,71.135,35.7884,0,12.0956,294
83.5193,7.7422,5.4006,0,-3.2036,295
75.6468,67.2318,56.2736,0,27.0264,296
80.3766,41.2227,3.0689,0,12.1022,297
38.7659,35.7609,12.3366,0,3.848,298
35.0784,17.7087,61.6014,0,9.0548,299
45.6476,55.4053,87.1663,0,8.6381,300
49.6031,8.045,5.1724,0,21.4536,301
85.8448,26.2243,64.7997,0,-3.4774,302
9.5718,82.6573,33.3613,0,20.8461,303
3.3068,90.9056,62.5532,0,6.8598,304
28.7081,3.6804,37.6686,0,16.9639,305
14.6884,17.4614,92.0869,0,20.5092,306
64.012,24.2581,87.8896,0,-7.0932,307
48.2917,88.7901,67.8444,0,-7.0323,308
4.4169,24.029,28.1576,0,13.5529,309
22.604,87.8344,46.2899,0,16.4643,310
87.6512,13.7998,56.4918,0,32.998,311
0.5637,38.9908,80.1586,0,11.9508,312
99.9882,1.951,82.4085,0,7.2153,313
77.7119,11.1902,61.1474,0,9.8233,314
77.8325,67.3591,37.9874,0,20.5593,315
91.3694,33.2923,24.7959,0,11.7706,316
13.7831,51.0252,53.3348,0,19.1763,317
65.8681,96.6051,43.1541,0,14.5347,318
43.6035,47.1134,22.5033,0,-1.3669,319
39.7059,58.1376,83.5582,0,18.8357,320
99.7968,88.504,37.1797,0,23.6251,321
47.4551,23.7017,4.0304,0,11.8717,322
32.157,79.8071,96.4119,0,26.0645,323
4.8718,71.3476,2.6796,0,22.7315,324
42.105,87.0231,39.3108,0,24.0625,325
60.4184,16.1379,34.0496,0,2.7863,326
41.1096,59.0205,99.6038,0,7.5121,327
93.3448,34.5421,62.8605,0,21.5702,328
76.6132,63.027,75.3431,0,18.4053,329
17.6898,58.3681,29.6043,0,33.6694,330
63.4423,29.111,43.1213,0,6.7293,331
72.7876,34.6878,13.2156,0,2.7896,332
61.3129,16.5758,43.0577,0,6.8033,333
71.077,68.0824,77.7795,0,12.372,334
54.4913,55.3917,16.9233,0,11.9011,335
52.5304,81.8983,35.6974,0,16.943,336
88.1872,73.5878,71.6447,0,7.4389,337
96.279,85.4611,40.8868,0,14.3199,338
86.3218,89.9217,34.2474,0,1.021,339
69.5158,91.2167,98.4544,0,9.9119,340
74.3779,30.5242,88.0493,0,19.2145,341
94.8712,51.1546,96.4635,0,9.5724,342
99.5856,81.2942,68.3437,0,10.5632,343
59.5471,70.446,93.5538,0,10.8178,344
51.712,69.6847,64.7356,0,14.0183,345
98.1721,11.1185,68.8543,0,23.8053,346
61.4305,37.5855,79.3348,0,31.0703,347
81.7364,48.0705,10.8139,0,11.3902,348
45.2629,58.4253,25.3883,0,-7.2292,349
92.2732,56.1645,82.7242,0,11.4615,350
7.7933,85.6368,92.0815,0,19.2371,351
84.9566,87.8659,51.714,0,26.3136,352
60.8254,20.8083,70.8132,0,8.2889,353
13.4267,38.8218,88.518,0,11.1626,354
56.4942,91.6257,92.9484,0,21.3888,355
33.4528,50.6795,45.5525,0,16.9099,356
47.9943,10.1806,83.316,0,-4.3648,357
47.2679,18.1018,54.1001,0,10.8784,358
15.954,85.2179,83.1604,0,12.3404,359
6.8492,39.3244,95.3041,0,12.9645,360
55.614,26.5527,22.9649,0,14.2299,361
81.1863,13.8633,86.4062,0,13.5386,362
82.2998,13.6809,55.8725,0,29.884,363
55.8277,75.534,49.0345,0,10.882,364
69.0422,93.1239,55.9546,0,16.4698,365
9.7533,0.5145,22.665,0,3.5062,366
83.8587,31.1495,22.4616,0,-14.2217,367
50.8978,34.0872,7.7502,0,10.6652,368
57.3667,22.6257,36.7499,0,-2.3669,369
23.1629,93.5892,74.2388,0,21.4445,370
48.112,88.0474,35.9168,0,6.066,371
77.8556,40.1193,50.0253,0,13.4974,372
47.0969,65.6182,37.3938,0,19.183,373
35.9214,40.0878,76.6296,0,4.6361,374
99.3057,86.6515,47.9727,0,7.2074,375
34.4016,24.3532,18.6941,0,20.5031,376
95.5876,49.9305,10.9975,0,2.6029,377
51.3535,98.0041,97.6633,0,16.6123,378
56.5894,61.8092,67.5629,0,-1.5475,379
31.4524,68.3922,9.1895,0,9.8388,380
31.7145,89.0979,22.7378,0,38.2,381
57.5383,4.0436,9.3478,0,4.1753,382
20.0302,32.6812,11.3108,0,12.7816,383
23.3734,4.3694,38.2672,0,0.8993,384
0.4507,11.6491,60.4646,0,16.1192,385
74.1061,19.7706,0.1495,0,7.3495,386
89.6538,84.6109,6.6779,0,13.2297,387
92.8321,38.1929,80.7382,0,16.5546,388
43.5814,38.1245,76.5348,0,4.0829,389
58.2811,70.3853,82.7078,0,4.7329,390
67.7179,64.0747,59.5902,0,30.1796,391
71.4842,27.2871,69.2351,0,23.1741,392
62.0817,65.8851,37.8909,0,-3.1639,393
20.1656,50.8012,12.0342,0,3.4816,394
10.553,91.1061,12.4547,0,18.8254,395
45.4903,33.9815,41.6218,0,2.9991,396
37.7232,56.4983,33.5593,0,13.1873,397
24.847,48.0552,93.5081,0,3.4394,398
2.3916,72.3414,0.6007,0,-4.051,399
44.6079,42.9489,25.3217,0,19.5671,400
47.5096,22.8259,28.3521,0,2.2771,401
92.9546,96.8869,52.238,0,-1.1058,402
8.7557,29.9903,51.7805,0,-1.2237,403
15.5107,3.6685,87.0036,0,-11.413,404
80.5164,76.5748,46.8601,0,5.4863,405
19.2052,39.0894,78.7047,0,0.7452,406
80.1856,96.1134,88.7667,0,4.9789,407
72.3927,18.3204,92.3085,0,-1.0437,408
71.2577,59.4486,43.4042,0,0.7345,409
89.8854,57.0736,21.3377,0,-0.3175,410
44.1379,24.2969,90.495,0,17.063,411
19.6392,4.3542,13.4169,0,-0.6028,412
44.3219,67.4204,22.3998,0,2.0416,413
75.7241,42.5527,64.5728,0,-8.2398,414
98.8367,88.5412,33.815,0,7.6446,415
55.7368,35.6534,43.8146,0,4.5147,416
43.8899,66.3233,84.5996,0,4.479,417
75.4154,75.1643,95.3845,0,11.1046,418
39.4056,46.3879,54.0596,0,22.1582,419
2.1278,20.7323,85.3895,0,0.2121,420
58.5474,87.3908,41.1399,0,10.224,421
99.6051,13.6382,64.2969,0,10.883,422
48.9709,38.0149,53.7202,0,33.3466,423
49.2737,1.529,41.9343,0,22.509,424
75.7202,31.2084,74.5022,0,10.8049,425
96.7972,2.7889,86.3605,0,2.651,426
51.2649,15.3379,25.8393,0,3.2759,427
83.8421,21.9529,38.4061,0,5.5213,428
50.6813,33.9773,82.4143,0,9.6239,429
15.4785,62.6945,56.3563,0,14.3007,430
6.3298,99.3049,47.9441,0,3.1698,431
2.4292,43.4249,66.4414,0,24.6491,432
96.2136,76.1638,88.5159,0,17.7762,433
3.179,27.1994,38.4297,0,17.2024,434
34.3821,37.3741,80.308,0,16.9172,435
54.1921,33.8745,55.2236,0,27.3254,436
16.1423,49.5455,2.1953,0,15.8498,437
34.4043,99.5152,61.3456,0,3.1921,438
41.7654,79.0657,6.7665,0,-0.9572,439
86.1228,58.62,48.5272,0,4.8014,440
52.0226,78.1897,34.7321,0,-4.6553,441
99.5555,69.3684,96.1871,0,4.4317,442
39.9033,60.8781,74.5295,0,5.4091,443
97.2833,34.8534,99.9903,0,16.4529,444
85.2271,21.6068,82.8219,0,18.0085,445
66.4454,76.9589,8.3282,0,9.1732,446
81.9332,30.8361,70.6382,0,12.5434,447
61.1713,29.2405,11.4659,0,9.176,448
71.1855,97.9047,51.2711,0,3.7862,449
41.4618,53.1902,40.9176,0,18.9792,450
8.0372,97.9428,99.6707,0,13.4077,451
43.6956,69.8733,3.1345,0,16.5991,452
83.5498,63.8433,26.9294,0,20.1301,453
31.6924,54.7846,97.9238,0,-0.6703,454
4.8433,70.8462,84.9414,0,8.0526,455
59.715,78.5955,41.8596,0,4.8642,456
58.2428,25.3468,31.2749,0,14.1718,457
44.8812,12.2884,37.4471,0,-0.8198,458
52.0721,23.1012,80.7936,0,4.5029,459
30.8297,82.4464,90.4143,0,14.9267,460
96.0298,1.5194,75.3894,0,4.9079,461
24.6534,28.1691,40.4217,0,9.1776,462
47.0721,93.6789,5.8355,0,5.0214,463
35.73,24.9217,22.1308,0,-8.9786,464
30.0839,14.5298,55.1678,0,9.9941,465
23.2633,82.0632,41.737,0,12.3507,466
88.3536,94.3616,24.3348,0,-9.1881,467
58.142,16.8,24.7953,0,2.4068,468
98.7625,29.9387,86.7703,0,14.5936,469
72.1942,78.9982,84.7408,0,-5.8065,470
6.2366,16.781,50.5529,0,12.8825,471
49.3182,12.6771,8.5961,0,22.0029,472
1.1653,82.5036,8.1742,0,37.8884,473
74.5696,45.0383,27.5788,0,3.1311,474
41.2452,34.5293,39.6295,0,6.8528,475
15.7715,24.2671,20.9897,0,-10.8853,476
4.5346,85.4201,51.1276,0,19.9222,477
45.0611,77.7956,76.1397,0,14.4452,478
13.4489,62.6876,50.9686,0,15.6341,479
66.6848,36.7026,96.3685,0,10.4788,480
50.175,68.8283,13.3618,0,-6.1416,481
83.3482,19.9607,39.6907,0,12.096,482
47.3527,44.0372,47.5442,0,4.827,483
91.3078,34.9001,63.786,0,27.4369,484
38.0706,57.8752,69.5539,0,-4.9836,485
75.7146,84.3296,18.881,0,9.8572,486
21.6385,51.4371,50.9657,0,14.2828,487
90.0052,77.7603,50.6316,0,-1.2856,488
82.6326,47.5856,34.1715,0,-0.0863,489
65.0532,5.2157,72.9509,0,14.4839,490
96.8233,45.8818,6.8772,0,11.4073,491
25.6354,79.3907,0.1049,0,14.4505,492
87.3579,93.9547,18.5003,0,21.9992,493
36.038,81.1776,0.9011,0,33.0415,494
99.0792,1.649,60.7571,0,26.9904,495
31.0403,82.208,39.3048,0,1.8019,496
49.9806,36.3278,35.4718,0,-5.1859,497
69.9491,76.8078,1.4273,0,1.3917,498
53.1693,35.2789,20.8615,0,15.8187,499
18.4475,17.8814,65.8095,0,6.8416,500
61.174,50.5633,58.6802,0,28.5043,501
90.5935,5.4158,89.7413,0,2.751,502
3.1351,64.7643,93.0832,0,-0.4252,503
33.1743,91.6124,92.5969,0,9.8386,504
61.9126,71.4429,33.9127,0,27.9627,505
65.7022,27.4388,97.7084,0,31.2131,506
60.897,33.0585,89.5813,0,25.9376,507
15.9579,10.7674,25.8944,0,18.4899,508
71.4826,60.8008,42.1278,0,22.2715,509
76.6285,68.6267,81.2909,0,29.083,510
77.4245,11.2425,77.3354,0,18.7682,511
48.2277,68.6446,10.0008,0,-4.0641,512
76.4345,26.2228,78.5126,0,2.1274,513
53.6017,7.4731,4.0898,0,1.0381,514
1.4825,77.5542,13.8495,0,17.0659,515
97.7703,88.5924,31.3289,0,16.879,516
81.9798,8.5078,39.204,0,-15.728,517
4.8707,41.2421,91.961,0,-3.9774,518
2.7611,59.9082,39.9394,0,-4.4853,519
40.6695,89.2052,95.5715,0,4.2366,520
98.5059,5.4778,83.6829,0,14.047,521
94.1429,12.7114,20.7314,0,6.1209,522
95.5547,83.0783,57.6551,0,8.2037,523
40.3139,0.8993,63.6359,0,17.4186,524
5.155,77.3852,7.0164,0,18.1683,525
77.2692,83.2637,50.7303,0,10.527,526
93.8297,11.4517,33.2219,0,9.4642,527
14.5361,57.8361,6.2574,0,1.1782,528
37.3017,25.3869,33.1812,0,-2.3337,529
8.4357,31.5528,38.3697,0,11.1516,530
40.3304,48.0035,42.5872,0,16.2894,531
64.4286,82.8764,51.1441,0,13.1564,532
14.819,7.0467,15.5894,0,0.37,533
66.4257,52.4359,56.5291,0,18.593,534
35.2233,66.5597,72.686,0,-5.0029,535
74.3932,90.4744,46.6748,0,20.5971,536
34.5222,77.7204,3.7593,0,-10.4976,537
34.2264,51.2322,24.977,0,28.3299,538
7.6947,11.0952,43.521,0,0.7885,539
51.8682,11.1651,4.0259,0,1.4578,540
35.8696,94.2485,17.9818,0,8.613,541
91.4207,94.6974,0.1304,0,21.405,542
64.7896,23.6158,65.4482,0,9.0615,543
68.3417,84.721,78.448,0,-10.8672,544
16.0716,4.3693,73.8779,0,-24.606,545
16.4891,38.527,28.7784,0,4.3139,546
87.8697,48.3696,91.365,0,0.2497,547
59.9779,97.6159,17.3406,0,-25.3702,548
44.168,57.8391,97.8296,0,-8.2286,549
62.8506,51.2401,39.1441,0,1.717,550
36.8634,29.5218,21.137,0,22.0593,551
86.587,88.4964,94.23,0,7.111,552
23.8167,33.7729,63.314,0,7.5614,553
75.9859,55.0392,53.6523,0,15.0133,554
71.0471,11.474,92.1909,0,-5.2203,555
60.0324,60.5233,70.9912,0,11.94,556
8.8796,49.6733,21.0289,0,0.7888,557
35.3949,40.6713,73.087,0,17.651,558
4.3327,95.6594,60.3918,0,16.5972,559
8.0936,50.1474,68.8631,0,20.9276,560
41.9778,31.4181,67.3714,0,28.6816,561
38.5368,86.3402,11.5034,0,1.9555,562
5.8721,98.3187,76.2909,0,0.4037,563
30.8879,89.9082,85.275,0,1.541,564
48.1715,22.0383,67.6395,0,5.0994,565
79.0378,9.1247,98.9941,0,-22.5115,566
85.4513,58.2524,33.0931,0,8.5573,567
9.5766,56.3513,2.0197,0,-3.3976,568
78.8697,82.3586,73.0116,0,21.1787,569
39.1396,12.8393,89.209,0,17.2408,570
94.2294,92.2284,53.1218,0,14.3731,571
29.5484,90.8711,59.0374,0,5.0036,572
22.6016,13.0097,22.8312,0,1.4977,573
73.4422,27.1311,7.8438,0,10.2134,574
89.8213,66.3839,97.4064,0,18.3769,575
1.7196,53.7822,47.9742,0,28.3975,576
12.6196,81.5119,27.0852,0,22.4535,577
85.2361,86.6481,79.1783,0,0.7634,578
73.6488,0.4071,14.343,0,13.493,579
0.3375,12.7157,48.4967,0,22.6532,580
4.1064,31.8746,21.9988,0,13.9903,581
88.1217,23.1443,64.9159,0,17.7598,582
73.3998,67.5281,18.8745,0,5.3229,583
53.8646,96.9035,21.7873,0,16.4544,584
55.2371,6.5477,37.5567,0,30.9682,585
9.5206,85.2526,71.5706,0,3.7898,586
91.7923,46.0815,42.2555,0,19.8489,587
